Date,BABA,MSTR,COIN,TSLA,PDD,PLTR,BIDU,JD
2017-08,156.9892518416695,12.905739245207414,0.0,23.391681007716965,0.0,0.0,224.67261140242863,40.808407327403195
2017-09,167.788818359375,12.725400066375732,0.0,23.857133197784425,0.0,0.0,236.0605026245117,39.4886474609375
2017-10,171.9722574407404,13.449772748080166,0.0,22.97887880151922,0.0,0.0,256.5731818459251,36.19345404885032
2017-11,179.25636872791108,13.479285785130092,0.0,20.679460071382067,0.0,0.0,241.32476080031623,36.641161600748696
2017-12,167.67775650024413,13.33784999847412,0.0,21.522733211517338,0.0,0.0,234.6495002746582,37.49702682495117
2018-01,184.34447224934897,13.739857219514391,0.0,22.572222210112074,0.0,0.0,251.88333275204613,43.42802774338495
2018-02,178.77088125128495,13.498526372407612,0.0,22.385157936497738,0.0,0.0,237.1352643464741,43.00559696398283
2018-03,182.11314101446243,13.136999993097216,0.0,21.06555548168364,0.0,0.0,249.3866715204148,40.66159075782413
2018-04,169.22594124930245,12.95923814319429,0.0,19.31819034758068,0.0,0.0,231.59285699753536,36.200328100295295
2018-05,187.65993014248937,12.990636392073196,0.0,19.323485027660023,0.0,0.0,255.2327284379439,34.30263744701039
2018-06,195.1709529331752,13.129000027974447,0.0,22.37336494809105,0.0,0.0,259.83428882417223,37.65672247750418
2018-07,183.0894644601005,13.395285697210404,0.0,20.798317228044784,24.097500324249268,0.0,258.7780972435361,34.94678097679501
2018-08,170.98963729194972,14.155739203743313,0.0,22.08095650050951,19.255652220352836,0.0,223.8034800653872,31.456285725469176
2018-09,157.31656606573807,14.629578991940146,0.0,19.343192853425677,23.85473683005885,0.0,222.18736909565172,24.762020512631064
2018-10,142.01891758130944,12.805652079374894,0.0,18.999536431354024,20.633043703825575,0.0,198.94956439474353,22.018465871396273
2018-11,145.87465050106957,12.65547616141183,0.0,22.96634919302804,20.69285692487444,0.0,186.95904686337423,20.68132682073684
2018-12,140.27520390560753,12.50036846963983,0.0,22.940631464908,22.05368413423237,0.0,170.93315686677633,19.791818418000872
2019-01,146.71117146809897,13.342523801894416,0.0,21.232952481224423,25.83142852783203,0.0,165.3990478515625,21.24982743036179
2019-02,166.53029672723068,13.791789506611073,0.0,20.515227970324062,28.30947374042712,0.0,169.85999900416323,23.36766985843056
2019-03,174.42257690429688,14.394285701570055,0.0,18.517142886207218,26.490476244971862,0.0,167.0761907668341,26.59142103649321
2019-04,178.9068618047805,14.788857323782784,0.0,17.777047566005162,22.822857266380673,0.0,172.4980941045852,28.15791184561593
2019-05,164.63038635253906,13.703363591974432,0.0,14.647697101939809,21.77318174188787,0.0,139.63999938964844,26.316452026367188
2019-06,156.08058700561523,13.870199871063232,0.0,14.247766637802124,20.29000005722046,0.0,113.88900032043458,26.130214881896972
2019-07,167.5829412286932,12.681045575575396,0.0,16.158818244934082,20.507272807034575,0.0,114.61590888283467,28.985590414567422
2019-08,160.65765658291903,13.862818197770553,0.0,15.006848508661443,26.2004546252164,0.0,101.83045439286666,27.285001841458406
2019-09,170.0235565185547,14.65169997215271,0.0,15.81743335723877,34.10499992370605,0.0,105.71350059509275,28.38947172164917
2019-10,165.63394231381625,14.541260802227518,0.0,17.756985581439473,35.163043727045476,0.0,103.79956552256708,28.03768025273862
2019-11,180.13106155395508,15.444999980926514,0.0,22.553333377838136,39.56749992370605,0.0,116.49600067138672,30.667411041259765
2019-12,199.2914726620629,14.737285659426735,0.0,25.179650897071475,37.58904793148949,0.0,121.82190559023904,31.944579987298873
2020-01,211.01333908807663,14.568190574645996,0.0,35.243936357044035,38.67904735746838,0.0,134.93999953497024,36.55975614275251
2020-02,208.28308346396997,14.758315789072135,0.0,53.163122277510794,35.60105233443411,0.0,130.25789642333984,37.78759805779709
2020-03,186.76925173672765,11.622181849046187,0.0,37.27342466874556,35.200908487493344,0.0,102.03181838989258,37.65668227455833
2020-04,194.9042213076637,12.29609525771368,0.0,44.2399050394694,44.493333180745445,0.0,100.4971426100958,40.598870231991725
2020-05,195.78388137817385,12.118699884414672,0.0,53.295033073425294,58.035000038146975,0.0,101.93149948120116,45.75683498382568
2020-06,211.86856772682884,12.09259102561257,0.0,64.2361516085538,77.0527274391868,0.0,117.75772753628816,55.08378947864879
2020-07,239.5420351895419,11.907681811939586,0.0,97.3427276611328,85.79045521129261,0.0,123.9081812771884,58.49770545959473
2020-08,256.47286914643786,13.78176198686872,0.0,120.01990472702752,90.02761840820312,0.0,124.49333263578868,65.1226913815453
2020-09,268.03699457077755,14.957952317737398,0.0,137.83174532935732,81.33523813883464,9.5,123.33142889113654,71.41356622605096
2020-10,292.66775790127843,16.48295441540805,0.0,142.40318090265447,83.04227343472567,9.804545445875688,129.81590860540217,75.20551230690695
2020-11,265.4301467895508,21.1873498916626,0.0,155.20416564941405,126.25650024414062,17.49850001335144,140.1345001220703,81.14406929016113
2020-12,246.02088026566935,32.18168206648393,0.0,212.9395446777344,150.02545374090022,26.32636373693293,174.8686384721236,77.99693957242098
2021-01,237.44964760228208,53.93363129465204,0.0,276.25894727204974,171.95157824064557,28.570526524593955,236.9968414306641,85.44332644813939
2021-02,251.7833589252673,87.49036849172492,0.0,264.7564906070107,190.0836848208779,30.30894711143092,293.8631591796875,91.6820152684262
2021-03,224.9576581872028,70.51582634967306,0.0,218.93420211128569,148.6600000132685,24.096956501836363,253.85391169009,80.83415487538214
2021-04,224.70210702078683,68.55490475609189,310.83231060321515,236.53936476934524,136.77523803710938,23.289523987543017,216.52714175269716,73.53765905471076
2021-05,209.51534729003907,52.73264980316162,256.7255012512207,205.58433532714844,126.36299896240234,20.75749988555908,191.20800170898437,67.75294036865235
2021-06,209.4805401888761,56.01336375149813,231.99136352539065,208.97318337180397,126.77863589200106,25.126818136735395,192.4500004161488,69.51862473921342
2021-07,199.40736389160156,59.3558098929269,236.20714314778647,219.71158781505767,104.35999879382904,22.53714288984026,178.12047613234748,68.34152712140765
2021-08,173.97135162353516,70.36709126559171,255.8609085083008,235.0810616233132,88.6236360723322,23.99272727966309,155.07000038840553,66.091120633212
2021-09,153.81262715657553,62.34628532046363,245.93238321940103,251.3174627394903,99.18714323497954,26.659523827689036,159.98619006928942,72.31680588495163
2021-10,158.38060724167596,70.93237976800827,278.74571446010043,292.78301711309524,93.93904767717632,24.338571366809663,164.75333513532365,73.97404370989118
2021-11,148.2462430681501,76.27023824055989,332.6309552873884,373.5541251046317,84.68904731387184,23.211904707409087,159.61809576125373,78.52916681198846
2021-12,116.54262324741909,59.7077142624628,262.721427554176,339.028570265997,58.91952351161411,18.886666434151785,144.39571489606584,69.6226566859654
