US_Fed_Rate,European_Central_Bank_Rate,China_Central_Bank_Rate,crypto_Solana,crypto_Bitcoin,crypto_Cardano,crypto_XRP,crypto_Ethereum,crypto_Dogecoin,stock_BABA,stock_MSTR,stock_COIN,stock_TSLA,stock_PDD,stock_PLTR,stock_BIDU,stock_JD,US_Fed_Rate_change,European_Central_Bank_Rate_change,China_Central_Bank_Rate_change,crypto_Solana_change,crypto_Bitcoin_change,crypto_Cardano_change,crypto_XRP_change,crypto_Ethereum_change,crypto_Dogecoin_change,stock_BABA_change,stock_MSTR_change,stock_COIN_change,stock_TSLA_change,stock_PDD_change,stock_PLTR_change,stock_BIDU_change,stock_JD_change
0.125,0.25,4.6,0.0,250.62,0.0,0.02,0.0,15.5662,83.90055604414506,17.63881813396107,0.0,17.133454582907937,0.0,0.0,205.8168182373047,32.893122933127664,0.0,0.0,0.0,0.0,-91.48000000000002,0.0,0.0,0.0,-4.765199999999998,-0.6409028486772002,-0.16658166538585206,0.0,0.9854214408180937,0.0,0.0,10.087818145751982,1.3985166289589586
0.125,0.25,4.6,0.0,233.74,0.0,0.01,0.0,14.3709,78.46340144764294,18.306590860540215,0.0,17.773303031921387,0.0,0.0,190.74363708496097,31.131177035245027,0.0,0.0,0.0,0.0,-16.879999999999995,0.0,-0.01,0.0,-1.1952999999999996,-5.4371545965021255,0.6677727265791447,0.0,0.6398484490134493,0.0,0.0,-15.073181152343722,-1.7619458978826366
0.125,0.25,4.6,0.0,269.08,0.0,0.01,0.0,13.82,71.10976428077335,21.034952617826917,0.0,16.30336498078846,0.0,0.0,160.57762073335192,26.296050298781623,0.0,0.0,0.0,0.0,35.339999999999975,0.0,0.0,0.0,-0.5509000000000004,-7.353637166869589,2.7283617572867023,0.0,-1.469938051132928,0.0,0.0,-30.166016351609045,-4.835126736463405
0.125,0.25,4.6,0.0,235.47,0.0,0.01,0.0,11.1959,60.691656203497026,20.200237819126674,0.0,16.860412416004,0.0,0.0,141.99666559128534,23.427300771077473,0.0,0.0,0.0,0.0,-33.609999999999985,0.0,0.0,0.0,-2.6241000000000003,-10.418108077276322,-0.8347147987002437,0.0,0.5570474352155408,0.0,0.0,-18.580955142066585,-2.86874952770415
0.125,0.25,4.6,0.0,237.17,0.0,0.01,0.0,12.1677,68.9025093425404,19.41050000624223,0.0,14.798848498951305,0.0,0.0,154.10272841020063,25.47231422771107,0.0,0.0,0.0,0.0,1.6999999999999886,0.0,0.0,0.0,0.9718,8.210853139043373,-0.789737812884443,0.0,-2.0615639170526947,0.0,0.0,12.10606281891529,2.0450134566335976
0.125,0.25,4.6,0.0,237.54,0.0,0.01,0.0,17.9527,78.26072578430175,17.448399925231932,0.0,14.72546682357788,0.0,0.0,201.0155014038086,27.237657165527345,0.0,0.0,0.0,0.0,0.37000000000000455,0.0,0.0,0.0,5.785,9.358216441761357,-1.9621000810102984,0.0,-0.07338167537342422,0.0,0.0,46.91277299360797,1.7653429378162748
0.375,0.25,4.6,0.0,279.33,0.0,0.01,0.0,18.8009,80.40016070279208,17.626454440030184,0.0,15.344787901098078,0.0,0.0,199.2618172385476,29.89724211259322,0.25,0.0,0.0,0.0,41.78999999999999,0.0,0.0,0.0,0.8481999999999985,2.1394349184903234,0.17805451479825152,0.0,0.6193210775201976,0.0,0.0,-1.7536841652610065,2.6595849470658735
0.375,0.25,4.6,0.0,251.82,0.0,0.01,1.29,15.0507,68.81249718917043,15.54810539044832,0.0,13.637473708704896,0.0,0.0,170.1599988435444,25.608906996877568,0.0,0.0,0.0,0.0,-27.50999999999999,0.0,0.0,0.0,-3.7501999999999978,-11.58766351362165,-2.0783490495818633,0.0,-1.7073141923931825,0.0,0.0,-29.101818395003193,-4.28833511571565
0.375,0.25,4.6,0.0,233.85,0.0,0.01,1.0,12.6257,62.80636558532715,15.76254997253418,0.0,11.311333227157592,0.0,0.0,156.7240005493164,23.03815813064575,0.0,0.0,0.0,0.0,-17.97,0.0,0.0,-0.29000000000000004,-2.4250000000000007,-6.006131603843279,0.21444458208585893,0.0,-2.326140481547304,0.0,0.0,-13.435998294228,-2.570748866231817
0.375,0.0,4.6,0.0,263.85,0.0,0.01,0.66,12.1471,71.92441940307617,17.14586353302002,0.0,14.409818172454834,0.0,0.0,182.5095450661399,24.961500601335004,0.0,-0.25,0.0,0.0,30.00000000000003,0.0,0.0,-0.33999999999999997,-0.47860000000000014,9.118053817749022,1.3833135604858402,0.0,3.0984849452972423,0.0,0.0,25.785544516823506,1.9233424706892528
0.375,0.0,4.6,0.0,348.35,0.0,0.0,0.93,13.4102,75.94769359770275,18.516618910289942,0.0,16.7306033543178,0.0,0.0,189.57190522693452,25.689738228207545,0.0,-0.25,0.0,0.0,84.5,0.0,-0.01,0.27,1.2630999999999997,4.02327419462658,1.3707553772699228,0.0,2.3207851818629663,0.0,0.0,7.062360160794611,0.7282376268725415
0.375,0.0,4.35,0.0,423.03,0.0,0.01,0.89,14.2465,76.03783089773995,18.393952142624627,0.0,14.442254111880349,0.0,0.0,171.91000075567337,22.15907314845494,0.0,-0.25,-0.25,0.0,74.67999999999995,0.0,0.0,-0.040000000000000036,0.8362999999999996,0.090137300037199,-0.12266676766531504,0.0,-2.2883492424374516,0.0,0.0,-17.661904471261153,-3.5306650797526054
0.375,0.0,4.35,0.0,411.49,0.0,0.01,1.48,19.4501,74.78039516102184,18.334772543473676,0.0,14.322606130079787,0.0,0.0,165.83954551003197,19.959518692710184,0.0,-0.25,0.0,0.0,-11.539999999999964,0.0,0.0,0.59,5.2036,-1.257435736718108,-0.05917959915095139,0.0,-0.11964798180056135,0.0,0.0,-6.070455245641398,-2.1995544557447566
0.375,0.0,4.35,0.0,403.33,0.0,0.01,4.46,28.3357,79.01497497558594,18.16090030670166,0.0,14.891933250427249,0.0,0.0,162.97600021362305,20.280062198638916,0.0,-0.25,0.0,0.0,-8.160000000000025,0.0,0.0,2.98,8.8856,4.2345798145641,-0.17387223677201646,0.0,0.5693271203474612,0.0,0.0,-2.8635452964089154,0.3205435059287325
0.375,0.0,4.35,0.0,416.79,0.0,0.01,11.07,22.8117,88.84113145911175,16.650217470915422,0.0,14.91562320875085,0.0,0.0,169.8569568136464,22.61429537897525,0.0,-0.25,0.0,0.0,13.460000000000036,0.0,0.0,6.61,-5.524000000000001,9.826156483525807,-1.5106828357862376,0.0,0.02368995832360099,0.0,0.0,6.880956600023353,2.3342331803363336
0.375,0.0,4.35,0.0,433.81,0.0,0.01,8.99,22.3122,100.2182860601516,16.90423801967076,0.0,13.483746029081798,0.0,0.0,186.0904758998326,24.531829379853747,0.0,-0.25,0.0,0.0,17.019999999999982,0.0,0.0,-2.08,-0.4994999999999976,11.377154601039848,0.25402054875533864,0.0,-1.4318771796690513,0.0,0.0,16.23351908618619,1.9175340008784971
0.375,0.0,4.35,0.0,460.77,0.0,0.01,11.28,22.7538,100.59998612176804,17.362571353004093,0.0,13.44555545988537,0.0,0.0,177.99761817568825,24.861452829270135,0.0,-0.25,0.0,0.0,26.95999999999998,0.0,0.0,2.289999999999999,0.44159999999999755,0.3817000616164421,0.45833333333333215,0.0,-0.038190569196428825,0.0,0.0,-8.092857724144352,0.3296234494163883
0.375,0.0,4.35,0.0,639.79,0.0,0.01,14.34,27.8993,91.7321319580078,19.437238148280553,0.0,12.61050810132708,0.0,0.0,166.7123819986979,23.856567836943128,0.0,-0.25,0.0,0.0,179.01999999999998,0.0,0.0,3.0600000000000005,5.145500000000002,-8.867854163760242,2.0746667952764604,0.0,-0.83504735855829,0.0,0.0,-11.285236176990338,-1.004884992327007
